#           time             x_1             y_1             x_2                 y_2         theta_1         theta_2              y2         omega_2
      8.70000000     -0.52768283      4.92913214     -0.23320620      5.88479082      3.40859523      9.12587014      0.00000000      0.00000000
      8.80000000     -0.57289262      4.91619259     -0.23474098      5.85728423      3.43210831      9.07982582      0.00000000      0.00000000
      8.90000000     -0.62124129      4.90106793     -0.23496345      5.82345040      3.45743856      9.02818517      0.00000000      0.00000000
      9.00000000     -0.67268500      4.88347946     -0.23412245      5.78218013      3.48462307      8.97077939      0.00000000      0.00000000
      9.10000000     -0.72711073      4.86314519     -0.23260629      5.73232029      3.51367424      8.90751338      0.00000000      0.00000000
      9.20000000     -0.78433466      4.83978780     -0.23095900      5.67271960      3.54457913      8.83836641      0.00000000      0.00000000
      9.30000000     -0.84410610      4.81314227     -0.22988906      5.60227941      3.57730142      8.76338455      0.00000000      0.00000000
      9.40000000     -0.90611673      4.78296171     -0.23027045      5.52000432      3.61178567      8.68266564      0.00000000      0.00000000
      9.50000000     -0.97001381      4.74902064     -0.23313741      5.42504814      3.64796372      8.59633984      0.00000000      0.00000000
      9.60000000     -1.03541574      4.71111491     -0.23967563      5.31675316      3.68576232      8.50454933      0.00000000      0.00000000
      9.70000000     -1.10192839      4.66905777     -0.25121225      5.19468317      3.72511183      8.40743172      0.00000000      0.00000000
      9.80000000     -1.16916116      4.62267131     -0.26920580      5.05865337      3.76595566      8.30511085      0.00000000      0.00000000
      9.90000000     -1.23674268      4.57177210     -0.29523432      4.90876171      3.80826128      8.19769928      0.00000000      0.00000000
     10.00000000     -1.30433647      4.51614854     -0.33097533      4.74542586      3.85203377      8.08531679      0.00000000      0.00000000
     10.10000000     -1.37165663      4.45552674     -0.37816447      4.56942722      3.89733391      7.96812984      0.00000000      0.00000000
     10.20000000     -1.43848217      4.38952115     -0.43851080      4.38195501      3.94430202      7.84641541      0.00000000      0.00000000
     10.30000000     -1.50466338      4.31756901     -0.51353952      4.18462737      3.99318700      7.72064525      0.00000000      0.00000000
     10.40000000     -1.57010556      4.23885775     -0.60433974      3.97944228      4.04437398      7.59156473      0.00000000      0.00000000
     10.50000000     -1.63470596      4.15227446     -0.71123976      3.76859467      4.09839415      7.46020386      0.00000000      0.00000000
     10.60000000     -1.69822331      4.05642680     -0.83352757      3.55413079      4.15589388      7.32772962      0.00000000      0.00000000
     10.70000000     -1.76009342      3.94977426     -0.96942092      3.33753493      4.21755321      7.19509196      0.00000000      0.00000000
     10.80000000     -1.81925860      3.83084182     -1.11642474      3.11948779      4.28398350      7.06255877      0.00000000      0.00000000
     10.90000000     -1.87409291      3.69840945     -1.27195690      2.90001592      4.35566672      6.92935912      0.00000000      0.00000000
     11.00000000     -1.92243794      3.55157262     -1.43391009      2.67902432      4.43298134      6.79358709      0.00000000      0.00000000
     11.10000000     -1.96167475      3.38965650     -1.60087557      2.45701297      4.51630664      6.65230995      0.00000000      0.00000000
     11.20000000     -1.98872760      3.21204368     -1.77195691      2.23582113      4.60616750      6.50169059      0.00000000      0.00000000
     11.30000000     -1.99991906      3.01799298     -1.94617407      2.01943828      4.70339237      6.33695621      0.00000000      0.00000000
     11.40000000     -1.99062071      2.80653376     -2.12127344      1.81510557      4.80927360      6.15215798      0.00000000      0.00000000
     11.50000000     -1.95467962      2.57664722     -2.29123726      1.63498436      4.92567888      5.93992643      0.00000000      0.00000000
     11.60000000     -1.88390104      2.32849656     -2.44087386      1.49796584      5.05479214      5.69244886      0.00000000      0.00000000
     11.70000000     -1.76942588      2.06772747     -2.53702648      1.42679900      5.19730749      5.40809622      0.00000000      0.00000000
     11.80000000     -1.60900655      1.81210357     -2.53225074      1.42788987      5.34834663      5.10674498      0.00000000      0.00000000
     11.90000000     -1.41312714      1.58470084     -2.40662541      1.47085365      5.49855507      4.82648355      0.00000000      0.00000000
     12.00000000     -1.19467940      1.39602334     -2.18735660      1.51682058      5.64300544      4.59129601      0.00000000      0.00000000
     12.10000000     -0.95975637      1.24532974     -1.91300935      1.54750314      5.78266945      4.40541717      0.00000000      0.00000000
     12.20000000     -0.70986837      1.13021742     -1.61248602      1.56066064      5.92034164      4.26740522      0.00000000      0.00000000
     12.30000000     -0.44547176      1.05024235     -1.30520274      1.56098949      6.05856535      4.17633536      0.00000000      0.00000000
