Timestamp,Event,Event Data
4:46:11.215 PM 10/6/2020,Start Shutdown Purge,3.11 
4:46:11.316 PM 10/6/2020,Start Shutdown Purge,3.21 
4:46:11.417 PM 10/6/2020,Start Shutdown Purge,3.31 
4:46:11.518 PM 10/6/2020,Start Shutdown Purge,3.41 
4:46:11.618 PM 10/6/2020,Start Shutdown Purge,3.51 
4:46:11.718 PM 10/6/2020,Start Shutdown Purge,3.61 
4:46:11.819 PM 10/6/2020,Start Shutdown Purge,3.71 
4:46:11.919 PM 10/6/2020,Start Shutdown Purge,3.81 
4:46:12.018 PM 10/6/2020,Start Shutdown Purge,3.91 
4:46:12.120 PM 10/6/2020,Start Shutdown Purge,4.01 
4:46:12.220 PM 10/6/2020,Start Shutdown Purge,4.11 
4:46:12.320 PM 10/6/2020,Start Shutdown Purge,4.21 
4:46:12.420 PM 10/6/2020,Start Shutdown Purge,4.31 
4:46:12.521 PM 10/6/2020,Start Shutdown Purge,4.42 
4:46:12.622 PM 10/6/2020,Start Shutdown Purge,4.52 
4:46:12.722 PM 10/6/2020,Start Shutdown Purge,4.62 
4:46:12.822 PM 10/6/2020,Start Shutdown Purge,4.72 
4:46:12.921 PM 10/6/2020,Start Shutdown Purge,4.82 
4:46:13.022 PM 10/6/2020,Start Shutdown Purge,4.92 
4:46:13.122 PM 10/6/2020,Start Shutdown Purge,5.02 
4:46:13.223 PM 10/6/2020,Start Shutdown Purge,5.12 
4:46:13.322 PM 10/6/2020,Start Shutdown Purge,5.22 
4:46:13.423 PM 10/6/2020,Start Shutdown Purge,5.32 
4:46:13.524 PM 10/6/2020,Start Shutdown Purge,5.42 
4:46:13.623 PM 10/6/2020,Start Shutdown Purge,5.52 
4:46:13.724 PM 10/6/2020,Start Shutdown Purge,5.62 
4:46:13.823 PM 10/6/2020,Start Shutdown Purge,5.72 
4:46:13.924 PM 10/6/2020,Start Shutdown Purge,5.82 
4:46:14.024 PM 10/6/2020,Start Shutdown Purge,5.92 
4:46:14.124 PM 10/6/2020,Start Shutdown Purge,6.02 
4:46:14.224 PM 10/6/2020,Start Shutdown Purge,6.12 
4:46:14.325 PM 10/6/2020,Start Shutdown Purge,6.22 
4:46:14.425 PM 10/6/2020,Start Shutdown Purge,6.32 
4:46:14.526 PM 10/6/2020,Start Shutdown Purge,6.42 
4:46:14.626 PM 10/6/2020,Start Shutdown Purge,6.52 
4:46:14.725 PM 10/6/2020,Start Shutdown Purge,6.62 
4:46:14.826 PM 10/6/2020,Start Shutdown Purge,6.72 
4:46:14.927 PM 10/6/2020,Start Shutdown Purge,6.82 
4:46:15.028 PM 10/6/2020,Start Shutdown Purge,6.92 
4:46:15.128 PM 10/6/2020,Start Shutdown Purge,7.02 
4:46:15.228 PM 10/6/2020,Start Shutdown Purge,7.12 
4:46:15.330 PM 10/6/2020,Start Shutdown Purge,7.22 
4:46:15.430 PM 10/6/2020,Start Shutdown Purge,7.32 
4:46:15.531 PM 10/6/2020,Start Shutdown Purge,7.43 
4:46:15.631 PM 10/6/2020,Start Shutdown Purge,7.53 
4:46:15.731 PM 10/6/2020,Start Shutdown Purge,7.63 
4:46:15.831 PM 10/6/2020,Start Shutdown Purge,7.73 
4:46:15.931 PM 10/6/2020,Start Shutdown Purge,7.83 
4:46:16.032 PM 10/6/2020,Start Shutdown Purge,7.93 
4:46:16.133 PM 10/6/2020,Start Shutdown Purge,8.03 
4:46:16.232 PM 10/6/2020,Start Shutdown Purge,8.13 
4:46:16.332 PM 10/6/2020,Start Shutdown Purge,8.23 
4:46:16.434 PM 10/6/2020,Start Shutdown Purge,8.33 
4:46:16.534 PM 10/6/2020,Start Shutdown Purge,8.43 
4:46:16.636 PM 10/6/2020,Start Shutdown Purge,8.53 
4:46:16.735 PM 10/6/2020,Start Shutdown Purge,8.63 
4:46:16.837 PM 10/6/2020,Start Shutdown Purge,8.73 
4:46:16.938 PM 10/6/2020,Start Shutdown Purge,8.83 
4:46:17.038 PM 10/6/2020,Start Shutdown Purge,8.93 
4:46:17.139 PM 10/6/2020,Start Shutdown Purge,9.03 
4:46:17.238 PM 10/6/2020,Start Shutdown Purge,9.13 
4:46:17.338 PM 10/6/2020,Start Shutdown Purge,9.23 
4:46:17.438 PM 10/6/2020,Start Shutdown Purge,9.33 
4:46:17.539 PM 10/6/2020,Start Shutdown Purge,9.43 
4:46:17.639 PM 10/6/2020,Start Shutdown Purge,9.53 
4:46:17.741 PM 10/6/2020,Start Shutdown Purge,9.64 
4:46:17.840 PM 10/6/2020,Start Shutdown Purge,9.73 
4:46:17.941 PM 10/6/2020,Start Shutdown Purge,9.84 
4:46:18.041 PM 10/6/2020,Start Shutdown Purge,9.94 
4:46:18.141 PM 10/6/2020,Start Shutdown Purge,10.04 
4:46:18.244 PM 10/6/2020,Boiler Initialized,0 
4:54:42.390 PM 10/6/2020,Boiler Ready,0 
4:54:49.915 PM 10/6/2020,Start Pre-Purge,0.00 
4:54:50.015 PM 10/6/2020,Start Pre-Purge,0.10 
4:54:50.114 PM 10/6/2020,Start Pre-Purge,0.20 
4:54:50.214 PM 10/6/2020,Start Pre-Purge,0.30 
4:54:50.316 PM 10/6/2020,Start Pre-Purge,0.40 
4:54:50.415 PM 10/6/2020,Start Pre-Purge,0.50 
4:54:50.517 PM 10/6/2020,Start Pre-Purge,0.60 
4:54:50.616 PM 10/6/2020,Start Pre-Purge,0.70 
4:54:50.717 PM 10/6/2020,Start Pre-Purge,0.80 
4:54:50.818 PM 10/6/2020,Start Pre-Purge,0.90 
4:54:50.918 PM 10/6/2020,Start Pre-Purge,1.00 
4:54:51.018 PM 10/6/2020,Start Pre-Purge,1.10 
4:54:51.119 PM 10/6/2020,Start Pre-Purge,1.20 
4:54:51.219 PM 10/6/2020,Start Pre-Purge,1.30 
4:54:51.319 PM 10/6/2020,Start Pre-Purge,1.40 
4:54:51.419 PM 10/6/2020,Start Pre-Purge,1.50 
4:54:51.520 PM 10/6/2020,Start Pre-Purge,1.60 
4:54:51.620 PM 10/6/2020,Start Pre-Purge,1.70 
4:54:51.720 PM 10/6/2020,Start Pre-Purge,1.80 
4:54:51.820 PM 10/6/2020,Start Pre-Purge,1.90 
4:54:51.920 PM 10/6/2020,Start Pre-Purge,2.00 
4:54:52.019 PM 10/6/2020,Start Pre-Purge,2.10 
4:54:52.119 PM 10/6/2020,Start Pre-Purge,2.20 
4:54:52.219 PM 10/6/2020,Start Pre-Purge,2.30 
4:54:52.320 PM 10/6/2020,Start Pre-Purge,2.41 
4:54:52.419 PM 10/6/2020,Start Pre-Purge,2.50 
4:54:52.520 PM 10/6/2020,Start Pre-Purge,2.60 
4:54:52.620 PM 10/6/2020,Start Pre-Purge,2.70 
4:54:52.721 PM 10/6/2020,Start Pre-Purge,2.81 
4:54:52.822 PM 10/6/2020,Start Pre-Purge,2.91 
4:54:52.923 PM 10/6/2020,Start Pre-Purge,3.01 
4:54:53.023 PM 10/6/2020,Start Pre-Purge,3.11 
4:54:53.124 PM 10/6/2020,Start Pre-Purge,3.21 
4:54:53.223 PM 10/6/2020,Start Pre-Purge,3.31 
4:54:53.325 PM 10/6/2020,Start Pre-Purge,3.41 
4:54:53.425 PM 10/6/2020,Start Pre-Purge,3.51 
4:54:53.526 PM 10/6/2020,Start Pre-Purge,3.61 
4:54:53.626 PM 10/6/2020,Start Pre-Purge,3.71 
4:54:53.726 PM 10/6/2020,Start Pre-Purge,3.81 
4:54:53.826 PM 10/6/2020,Start Pre-Purge,3.91 
4:54:53.926 PM 10/6/2020,Start Pre-Purge,4.01 
4:54:54.027 PM 10/6/2020,Start Pre-Purge,4.11 
4:54:54.127 PM 10/6/2020,Start Pre-Purge,4.21 
4:54:54.228 PM 10/6/2020,Start Pre-Purge,4.31 
4:54:54.328 PM 10/6/2020,Start Pre-Purge,4.41 
4:54:54.427 PM 10/6/2020,Start Pre-Purge,4.51 
4:54:54.529 PM 10/6/2020,Start Pre-Purge,4.61 
4:54:54.629 PM 10/6/2020,Start Pre-Purge,4.71 
4:54:54.729 PM 10/6/2020,Start Pre-Purge,4.81 
4:54:54.828 PM 10/6/2020,Start Pre-Purge,4.91 
4:54:54.929 PM 10/6/2020,Start Pre-Purge,5.01 
4:54:55.030 PM 10/6/2020,Start Pre-Purge,5.12 
4:54:55.131 PM 10/6/2020,Start Pre-Purge,5.22 
4:54:55.230 PM 10/6/2020,Start Pre-Purge,5.32 
4:54:55.331 PM 10/6/2020,Start Pre-Purge,5.42 
4:54:55.430 PM 10/6/2020,Start Pre-Purge,5.52 
4:54:55.531 PM 10/6/2020,Start Pre-Purge,5.62 
4:54:55.631 PM 10/6/2020,Start Pre-Purge,5.72 
4:54:55.731 PM 10/6/2020,Start Pre-Purge,5.82 
4:54:55.831 PM 10/6/2020,Start Pre-Purge,5.92 
4:54:55.931 PM 10/6/2020,Start Pre-Purge,6.02 
4:54:56.031 PM 10/6/2020,Start Pre-Purge,6.12 
4:54:56.131 PM 10/6/2020,Start Pre-Purge,6.22 
4:54:56.231 PM 10/6/2020,Start Pre-Purge,6.32 
4:54:56.331 PM 10/6/2020,Start Pre-Purge,6.42 
4:54:56.431 PM 10/6/2020,Start Pre-Purge,6.52 
4:54:56.531 PM 10/6/2020,Start Pre-Purge,6.62 
4:54:56.630 PM 10/6/2020,Start Pre-Purge,6.72 
4:54:56.731 PM 10/6/2020,Start Pre-Purge,6.82 
4:54:56.830 PM 10/6/2020,Start Pre-Purge,6.92 
4:54:56.930 PM 10/6/2020,Start Pre-Purge,7.02 
4:54:57.031 PM 10/6/2020,Start Pre-Purge,7.12 
4:54:57.132 PM 10/6/2020,Start Pre-Purge,7.22 
4:54:57.232 PM 10/6/2020,Start Pre-Purge,7.32 
4:54:57.333 PM 10/6/2020,Start Pre-Purge,7.42 
4:54:57.433 PM 10/6/2020,Start Pre-Purge,7.52 
4:54:57.533 PM 10/6/2020,Start Pre-Purge,7.62 
4:54:57.633 PM 10/6/2020,Start Pre-Purge,7.72 
4:54:57.733 PM 10/6/2020,Start Pre-Purge,7.82 
4:54:57.834 PM 10/6/2020,Start Pre-Purge,7.92 
4:54:57.934 PM 10/6/2020,Start Pre-Purge,8.02 
4:54:58.035 PM 10/6/2020,Start Pre-Purge,8.12 
4:54:58.135 PM 10/6/2020,Start Pre-Purge,8.22 
4:54:58.235 PM 10/6/2020,Start Pre-Purge,8.32 
4:54:58.334 PM 10/6/2020,Start Pre-Purge,8.42 
4:54:58.435 PM 10/6/2020,Start Pre-Purge,8.52 
4:54:58.535 PM 10/6/2020,Start Pre-Purge,8.62 
4:54:58.636 PM 10/6/2020,Start Pre-Purge,8.72 
4:54:58.736 PM 10/6/2020,Start Pre-Purge,8.82 
4:54:58.836 PM 10/6/2020,Start Pre-Purge,8.92 
4:54:58.936 PM 10/6/2020,Start Pre-Purge,9.02 
4:54:59.036 PM 10/6/2020,Start Pre-Purge,9.12 
4:54:59.136 PM 10/6/2020,Start Pre-Purge,9.22 
4:54:59.235 PM 10/6/2020,Start Pre-Purge,9.32 
4:54:59.336 PM 10/6/2020,Start Pre-Purge,9.42 
4:54:59.437 PM 10/6/2020,Start Pre-Purge,9.52 
4:54:59.537 PM 10/6/2020,Start Pre-Purge,9.62 
4:54:59.637 PM 10/6/2020,Start Pre-Purge,9.72 
4:54:59.737 PM 10/6/2020,Start Pre-Purge,9.82 
4:54:59.838 PM 10/6/2020,Start Pre-Purge,9.92 
4:54:59.938 PM 10/6/2020,Start Pre-Purge,10.02 
4:55:00.040 PM 10/6/2020,Pre-Purge Complete,10.00 
4:55:06.360 PM 10/6/2020,Pilot ON,True 
4:55:18.920 PM 10/6/2020,Pilot Proved,38.66 
4:55:19.020 PM 10/6/2020,Pilot Proved,44.54 
4:55:19.320 PM 10/6/2020,Pilot Proved,47.90 
4:55:24.337 PM 10/6/2020,Forced Draft Fan ON,True 
4:55:27.957 PM 10/6/2020,Boiler Running,24.40 
4:55:28.058 PM 10/6/2020,Boiler Running,26.64 
4:55:28.158 PM 10/6/2020,Boiler Running,28.41 
4:55:28.257 PM 10/6/2020,Boiler Running,28.78 
4:55:28.358 PM 10/6/2020,Boiler Running,28.86 
4:55:38.989 PM 10/6/2020,Start Shutdown Purge,0.00 
4:55:39.090 PM 10/6/2020,Start Shutdown Purge,0.10 
4:55:39.191 PM 10/6/2020,Start Shutdown Purge,0.20 
4:55:39.290 PM 10/6/2020,Start Shutdown Purge,0.30 
4:55:39.391 PM 10/6/2020,Start Shutdown Purge,0.40 
4:55:39.490 PM 10/6/2020,Start Shutdown Purge,0.50 
4:55:39.591 PM 10/6/2020,Start Shutdown Purge,0.60 
4:55:39.691 PM 10/6/2020,Start Shutdown Purge,0.70 
4:55:39.792 PM 10/6/2020,Start Shutdown Purge,0.80 
4:55:39.891 PM 10/6/2020,Start Shutdown Purge,0.90 
4:55:39.992 PM 10/6/2020,Start Shutdown Purge,1.00 
4:55:40.092 PM 10/6/2020,Start Shutdown Purge,1.10 
4:55:40.193 PM 10/6/2020,Start Shutdown Purge,1.20 
4:55:40.293 PM 10/6/2020,Start Shutdown Purge,1.30 
4:55:40.394 PM 10/6/2020,Start Shutdown Purge,1.40 
4:55:40.493 PM 10/6/2020,Start Shutdown Purge,1.50 
4:55:40.593 PM 10/6/2020,Start Shutdown Purge,1.60 
4:55:40.695 PM 10/6/2020,Start Shutdown Purge,1.71 
4:55:40.795 PM 10/6/2020,Start Shutdown Purge,1.81 
4:55:40.896 PM 10/6/2020,Start Shutdown Purge,1.91 
4:55:40.996 PM 10/6/2020,Start Shutdown Purge,2.01 
4:55:41.096 PM 10/6/2020,Start Shutdown Purge,2.11 
4:55:41.196 PM 10/6/2020,Start Shutdown Purge,2.21 
4:55:41.298 PM 10/6/2020,Start Shutdown Purge,2.31 
4:55:41.397 PM 10/6/2020,Start Shutdown Purge,2.41 
4:55:41.498 PM 10/6/2020,Start Shutdown Purge,2.51 
4:55:41.597 PM 10/6/2020,Start Shutdown Purge,2.61 
4:55:41.698 PM 10/6/2020,Start Shutdown Purge,2.71 
4:55:41.798 PM 10/6/2020,Start Shutdown Purge,2.81 
4:55:41.898 PM 10/6/2020,Start Shutdown Purge,2.91 
4:55:41.997 PM 10/6/2020,Start Shutdown Purge,3.01 
4:55:42.098 PM 10/6/2020,Start Shutdown Purge,3.11 
4:55:42.197 PM 10/6/2020,Start Shutdown Purge,3.21 
4:55:42.298 PM 10/6/2020,Start Shutdown Purge,3.31 
4:55:42.397 PM 10/6/2020,Start Shutdown Purge,3.41 
4:55:42.498 PM 10/6/2020,Start Shutdown Purge,3.51 
4:55:42.599 PM 10/6/2020,Start Shutdown Purge,3.61 
4:55:42.700 PM 10/6/2020,Start Shutdown Purge,3.71 
4:55:42.801 PM 10/6/2020,Start Shutdown Purge,3.81 
4:55:42.901 PM 10/6/2020,Start Shutdown Purge,3.91 
4:55:43.001 PM 10/6/2020,Start Shutdown Purge,4.01 
4:55:43.101 PM 10/6/2020,Start Shutdown Purge,4.11 
4:55:43.200 PM 10/6/2020,Start Shutdown Purge,4.21 
4:55:43.301 PM 10/6/2020,Start Shutdown Purge,4.31 
4:55:43.401 PM 10/6/2020,Start Shutdown Purge,4.41 
4:55:43.502 PM 10/6/2020,Start Shutdown Purge,4.51 
4:55:43.602 PM 10/6/2020,Start Shutdown Purge,4.61 
4:55:43.701 PM 10/6/2020,Start Shutdown Purge,4.71 
4:55:43.802 PM 10/6/2020,Start Shutdown Purge,4.81 
4:55:43.901 PM 10/6/2020,Start Shutdown Purge,4.91 
4:55:44.002 PM 10/6/2020,Start Shutdown Purge,5.01 
4:55:44.102 PM 10/6/2020,Start Shutdown Purge,5.11 
4:55:44.203 PM 10/6/2020,Start Shutdown Purge,5.21 
4:55:44.304 PM 10/6/2020,Start Shutdown Purge,5.32 
4:55:44.403 PM 10/6/2020,Start Shutdown Purge,5.41 
4:55:44.504 PM 10/6/2020,Start Shutdown Purge,5.52 
4:55:44.604 PM 10/6/2020,Start Shutdown Purge,5.62 
4:55:44.705 PM 10/6/2020,Start Shutdown Purge,5.72 
4:55:44.805 PM 10/6/2020,Start Shutdown Purge,5.82 
4:55:44.905 PM 10/6/2020,Start Shutdown Purge,5.92 
4:55:45.004 PM 10/6/2020,Start Shutdown Purge,6.02 
4:55:45.105 PM 10/6/2020,Start Shutdown Purge,6.12 
4:55:45.204 PM 10/6/2020,Start Shutdown Purge,6.22 
4:55:45.306 PM 10/6/2020,Start Shutdown Purge,6.32 
4:55:45.406 PM 10/6/2020,Start Shutdown Purge,6.42 
4:55:45.507 PM 10/6/2020,Start Shutdown Purge,6.52 
4:55:45.607 PM 10/6/2020,Start Shutdown Purge,6.62 
4:55:45.709 PM 10/6/2020,Start Shutdown Purge,6.72 
4:55:45.809 PM 10/6/2020,Start Shutdown Purge,6.82 
4:55:45.909 PM 10/6/2020,Start Shutdown Purge,6.92 
4:55:46.010 PM 10/6/2020,Start Shutdown Purge,7.02 
4:55:46.111 PM 10/6/2020,Start Shutdown Purge,7.12 
4:55:46.212 PM 10/6/2020,Start Shutdown Purge,7.22 
4:55:46.312 PM 10/6/2020,Start Shutdown Purge,7.32 
4:55:46.413 PM 10/6/2020,Start Shutdown Purge,7.42 
4:55:46.513 PM 10/6/2020,Start Shutdown Purge,7.52 
4:55:46.614 PM 10/6/2020,Start Shutdown Purge,7.63 
4:55:46.713 PM 10/6/2020,Start Shutdown Purge,7.72 
4:55:46.815 PM 10/6/2020,Start Shutdown Purge,7.83 
4:55:46.915 PM 10/6/2020,Start Shutdown Purge,7.93 
4:55:47.015 PM 10/6/2020,Start Shutdown Purge,8.03 
4:55:47.114 PM 10/6/2020,Start Shutdown Purge,8.13 
4:55:47.216 PM 10/6/2020,Start Shutdown Purge,8.23 
