#                             t                            ox                            oy                            oz
                    9.35000000            -13467326.11788999             15483355.25254382             14510393.46283440
                    9.36000000            -13801114.00511093             15186586.67572761             14510393.46283440
                    9.37000000            -14128363.99741629             14882623.87475225             14510393.46283440
                    9.38000000            -14448921.06920019             14571610.84356275             14510393.46283440
                    9.39000000            -14762633.36544217             14253694.91595510             14510393.46283440
                    9.40000000            -15069352.27364434             13929026.69578098             14510393.46283440
                    9.41000000            -15368932.49423235             13597759.98560337             14510393.46283440
                    9.42000000            -15661232.10938712             13260051.71383683             14510393.46283440
                    9.43000000            -15946112.65027442             12916061.86040706             14510393.46283440
                    9.44000000            -16223439.16264062             12565953.38096479             14510393.46283440
                    9.45000000            -16493080.27074359             12209892.12969011             14510393.46283440
                    9.46000000            -16754908.23958825             11848046.78072364             14510393.46283440
                    9.47000000            -17008799.03543753             11480588.74826182             14510393.46283440
                    9.48000000            -17254632.38456986             11107692.10535418             14510393.46283440
                    9.49000000            -17492291.83025556             10729533.50144112             14510393.46283440
                    9.50000000            -17721664.78792495             10346292.07867108             14510393.46283440
                    9.51000000            -17942642.59850219              9958149.38703693             14510393.46283440
                    9.52000000            -18155120.57987948              9565289.29837169             14510393.46283440
                    9.53000000            -18358998.07650733              9167897.91924440             14510393.46283440
                    9.54000000            -18554178.50707731              8766163.50279723             14510393.46283440
                    9.55000000            -18740569.41027479              8360276.35956581             14510393.46283440
                    9.56000000            -18918082.48857990              7950428.76732487             14510393.46283440
                    9.57000000            -19086633.65009604              7536814.88000203             14510393.46283440
                    9.58000000            -19246143.04838609              7119630.63570271             14510393.46283440
                    9.59000000            -19396535.12029744              6699073.66388988             14510393.46283440
                    9.60000000            -19537738.62175792              6275343.19176265             14510393.46283440
                    9.61000000            -19669686.66152575              5848639.94987785             14510393.46283440
                    9.62000000            -19792316.73287735              5419166.07705951             14510393.46283440
                    9.63000000            -19905570.74321821              4987125.02464123             14510393.46283440
                    9.64000000            -20009395.04160263              4552721.46008671             14510393.46283440
                    9.65000000            -20103740.44414935              4116161.17003425             14510393.46283440
                    9.66000000            -20188562.25734110              3677650.96281102             14510393.46283440
                    9.67000000            -20263820.29919685              3237398.57046335             14510393.46283440
                    9.68000000            -20329478.91830696              2795612.55034947             14510393.46283440
                    9.69000000            -20385507.01072202              2352502.18634120             14510393.46283440
                    9.70000000            -20431878.03468749              1908277.38968154             14510393.46283440
                    9.71000000            -20468570.02321712              1463148.59954506             14510393.46283440
                    9.72000000            -20495565.59449920              1017326.68334815             14510393.46283440
                    9.73000000            -20512851.96013070               571022.83685644             14510393.46283440
                    9.74000000            -20520420.93117546               124448.48413669             14510393.46283440
                    9.75000000            -20518268.92204341              -322184.82259955             14510393.46283440
                    9.76000000            -20506396.95218920              -768665.50321287             14510393.46283440
                    9.77000000            -20484810.64562924             -1214782.04986627             14510393.46283440
                    9.78000000            -20453520.22827746             -1660323.12722111             14510393.46283440
                    9.79000000            -20412540.52310109             -2105077.67255138             14510393.46283440
                    9.80000000            -20361890.94309871             -2548834.99572876             14510393.46283440
                    9.81000000            -20301595.48210381             -2991384.87903130             14510393.46283440
                    9.82000000            -20231682.70341846             -3432517.67672818             14510393.46283440
                    9.83000000            -20152185.72628218             -3872024.41439359             14510393.46283440
                    9.84000000            -20063142.21018265             -4309696.88790252             14510393.46283440
                    9.85000000            -19964594.33701556             -4745327.76206176             14510393.46283440
                    9.86000000            -19856588.79110209             -5178710.66882914             14510393.46283440
                    9.87000000            -19739176.73707356             -5609640.30507468             14510393.46283440
                    9.88000000            -19612413.79563353             -6037912.52983726             14510393.46283440
                    9.89000000            -19476360.01720912             -6463324.46103074             14510393.46283440
                    9.90000000            -19331079.85350372             -6885674.57155371             14510393.46283440
                    9.91000000            -19176642.12696480             -7304762.78475735             14510393.46283440
                    9.92000000            -19013119.99818119             -7720390.56922624             14510393.46283440
                    9.93000000            -18840590.93122531             -8132361.03282707             14510393.46283440
                    9.94000000            -18659136.65695664             -8540479.01598081             14510393.46283440
                    9.95000000            -18468843.13430407             -8944551.18411422             14510393.46283440
                    9.96000000            -18269800.50954521             -9344386.11924666             14510393.46283440
                    9.97000000            -18062103.07360207             -9739794.41066910             14510393.46283440
                    9.98000000            -17845849.21737338            -10130588.74467216             14510393.46283440
                    9.99000000            -17621141.38512465            -10516583.99328081             14510393.46283440
                   10.00000000            -17388086.02595797            -10897597.30195359             14510393.46283440
                   10.01000000            -17146793.54338478            -11273448.17620488             14510393.46283440
                   10.02000000            -16897378.24302523            -11643958.56710916             14510393.46283440
                   10.03000000            -16639958.27845905            -12008952.95564678             14510393.46283440
                   10.04000000            -16374655.59525361            -12368258.43585116             14510393.46283440
                   10.05000000            -16101595.87319555            -12721704.79671824             14510393.46283440
                   10.06000000            -15820908.46675349            -13069124.60283923             14510393.46283440
                   10.07000000            -15532726.34379994            -13410353.27371847             14510393.46283440
                   10.08000000            -15237186.02262145            -13745229.16173885             14510393.46283440
                   10.09000000            -14934427.50724685            -14073593.62873795             14510393.46283440
                   10.10000000            -14624594.22112425            -14395291.12115840             14510393.46283440
                   10.11000000            -14307832.93917815            -14710169.24373713             14510393.46283440
                   10.12000000            -13984293.71827886            -15018078.83169833             14510393.46283440
                   10.13000000            -13654129.82615729            -15318874.02141617             14510393.46283440
                   10.14000000            -13317497.66879854            -15612412.31951363             14510393.46283440
                   10.15000000            -12974556.71634895            -15898554.67036479             14510393.46283440
                   10.16000000            -12625469.42757151            -16177165.52196858             14510393.46283440
                   10.17000000            -12270401.17288557            -16448112.89016277             14510393.46283440
                   10.18000000            -11909520.15602714            -16711268.42114780             14510393.46283440
                   10.19000000            -11542997.33436709            -16966507.45229084             14510393.46283440
                   10.20000000            -11171006.33792479            -17213709.07118129             14510393.46283440
                   10.21000000            -10793723.38711573            -17452756.17290960             14510393.46283440
                   10.22000000            -10411327.20927197            -17683535.51554254             14510393.46283440
                   10.23000000            -10023998.95397507            -17905937.77376840             14510393.46283440
                   10.24000000             -9631922.10724143            -18119857.59068684             14510393.46283440
                   10.25000000             -9235282.40460093            -18325193.62771877             14510393.46283440
                   10.26000000             -8834267.74310986            -18521848.61261269             14510393.46283440
                   10.27000000             -8429068.09233991            -18709729.38552478             14510393.46283440
                   10.28000000             -8019875.40438535            -18888746.94315071             14510393.46283440
                   10.29000000             -7606883.52293103            -19058816.48088855             14510393.46283440
                   10.30000000             -7190288.09142434            -19219857.43301256             14510393.46283440
                   10.31000000             -6770286.46039456            -19371793.51083898             14510393.46283440
